# clk_mhz=200.0
# source=ctrl=hw-handshake-sw-loop coproc=cpu-steane
sample,rtt_cycles,rtt_us
348,461,2.3050
349,461,2.3050
350,462,2.3100
351,461,2.3050
352,462,2.3100
353,461,2.3050
354,460,2.3000
355,460,2.3000
356,460,2.3000
357,460,2.3000
358,460,2.3000
359,461,2.3050
360,460,2.3000
361,461,2.3050
362,459,2.2950
363,461,2.3050
364,460,2.3000
365,461,2.3050
366,463,2.3150
367,461,2.3050
368,462,2.3100
369,462,2.3100
370,461,2.3050
371,461,2.3050
372,466,2.3300
373,460,2.3000
374,463,2.3150
375,461,2.3050
376,461,2.3050
377,462,2.3100
378,463,2.3150
379,461,2.3050
380,462,2.3100
381,461,2.3050
382,462,2.3100
383,462,2.3100
384,459,2.2950
385,460,2.3000
386,460,2.3000
387,461,2.3050
388,462,2.3100
389,480,2.4000
390,461,2.3050
391,465,2.3250
392,462,2.3100
393,460,2.3000
394,460,2.3000
395,460,2.3000
396,465,2.3250
397,461,2.3050
398,462,2.3100
399,465,2.3250
400,464,2.3200
401,460,2.3000
402,460,2.3000
403,459,2.2950
404,461,2.3050
405,462,2.3100
406,462,2.3100
407,462,2.3100
408,461,2.3050
409,460,2.3000
410,460,2.3000
411,459,2.2950
412,461,2.3050
413,464,2.3200
414,487,2.4350
415,465,2.3250
416,460,2.3000
417,460,2.3000
418,462,2.3100
419,459,2.2950
420,461,2.3050
421,462,2.3100
422,462,2.3100
423,462,2.3100
424,459,2.2950
425,462,2.3100
426,461,2.3050
427,460,2.3000
428,460,2.3000
429,463,2.3150
430,462,2.3100
431,460,2.3000
432,460,2.3000
433,460,2.3000
434,461,2.3050
435,460,2.3000
436,461,2.3050
437,461,2.3050
438,461,2.3050
439,461,2.3050
440,461,2.3050
441,466,2.3300
442,460,2.3000
443,461,2.3050
444,460,2.3000
445,461,2.3050
446,461,2.3050
447,462,2.3100
448,461,2.3050
449,459,2.2950
450,459,2.2950
451,461,2.3050
452,461,2.3050
453,459,2.2950
454,460,2.3000
455,462,2.3100
456,461,2.3050
457,460,2.3000
458,468,2.3400
459,463,2.3150
460,461,2.3050
461,463,2.3150
462,462,2.3100
463,461,2.3050
464,463,2.3150
465,460,2.3000
466,460,2.3000
467,461,2.3050
468,462,2.3100
469,461,2.3050
470,463,2.3150
471,463,2.3150
472,464,2.3200
473,465,2.3250
474,461,2.3050
475,461,2.3050
476,463,2.3150
477,460,2.3000
478,478,2.3900
479,460,2.3000
480,460,2.3000
481,461,2.3050
482,460,2.3000
483,460,2.3000
484,461,2.3050
485,462,2.3100
486,463,2.3150
487,462,2.3100
488,460,2.3000
489,463,2.3150
490,460,2.3000
491,461,2.3050
492,462,2.3100
493,461,2.3050
494,461,2.3050
495,461,2.3050
496,461,2.3050
497,460,2.3000
498,461,2.3050
499,460,2.3000
500,462,2.3100
501,462,2.3100
502,462,2.3100
503,462,2.3100
504,461,2.3050
505,460,2.3000
506,459,2.2950
507,460,2.3000
508,462,2.3100
509,459,2.2950
510,467,2.3350
511,462,2.3100
512,461,2.3050
513,462,2.3100
514,460,2.3000
515,460,2.3000
516,461,2.3050
517,463,2.3150
518,461,2.3050
519,462,2.3100
520,461,2.3050
521,462,2.3100
522,460,2.3000
523,460,2.3000
524,466,2.3300
525,462,2.3100
526,461,2.3050
527,463,2.3150
528,460,2.3000
529,461,2.3050
530,458,2.2900
531,460,2.3000
532,460,2.3000
533,462,2.3100
534,460,2.3000
535,460,2.3000
536,459,2.2950
537,460,2.3000
538,462,2.3100
539,463,2.3150
540,461,2.3050
541,460,2.3000
542,462,2.3100
543,463,2.3150
544,462,2.3100
545,460,2.3000
546,460,2.3000
547,461,2.3050
548,461,2.3050
549,462,2.3100
550,461,2.3050
551,462,2.3100
552,462,2.3100
553,460,2.3000
554,460,2.3000
555,460,2.3000
556,460,2.3000
557,461,2.3050
558,462,2.3100
559,462,2.3100
560,460,2.3000
561,459,2.2950
562,462,2.3100
563,462,2.3100
564,461,2.3050
565,461,2.3050
566,463,2.3150
567,462,2.3100
568,463,2.3150
569,460,2.3000
570,459,2.2950
571,460,2.3000
572,461,2.3050
573,461,2.3050
574,461,2.3050
575,461,2.3050
576,461,2.3050
577,461,2.3050
578,462,2.3100
579,460,2.3000
580,461,2.3050
581,461,2.3050
582,464,2.3200
583,463,2.3150
584,460,2.3000
585,461,2.3050
586,460,2.3000
587,461,2.3050
588,460,2.3000
589,461,2.3050
590,461,2.3050
591,461,2.3050
592,461,2.3050
593,459,2.2950
594,460,2.3000
595,459,2.2950
596,461,2.3050
597,461,2.3050
598,461,2.3050
599,462,2.3100
600,460,2.3000
601,459,2.2950
602,459,2.2950
603,460,2.3000
604,460,2.3000
605,461,2.3050
606,462,2.3100
607,462,2.3100
608,462,2.3100
609,460,2.3000
610,461,2.3050
611,460,2.3000
612,461,2.3050
613,462,2.3100
614,462,2.3100
615,461,2.3050
616,460,2.3000
617,460,2.3000
618,461,2.3050
619,461,2.3050
620,461,2.3050
621,461,2.3050
622,463,2.3150
623,461,2.3050
624,460,2.3000
625,460,2.3000
626,459,2.2950
627,461,2.3050
628,465,2.3250
629,463,2.3150
630,459,2.2950
631,460,2.3000
632,463,2.3150
633,460,2.3000
634,459,2.2950
635,459,2.2950
636,461,2.3050
637,459,2.2950
638,466,2.3300
639,463,2.3150
640,461,2.3050
641,460,2.3000
642,460,2.3000
643,460,2.3000
644,462,2.3100
645,461,2.3050
646,461,2.3050
647,461,2.3050
648,459,2.2950
649,460,2.3000
650,461,2.3050
651,461,2.3050
652,459,2.2950
653,461,2.3050
654,461,2.3050
655,462,2.3100
656,460,2.3000
657,460,2.3000
658,465,2.3250
659,459,2.2950
660,461,2.3050
661,462,2.3100
662,463,2.3150
663,462,2.3100
664,460,2.3000
665,459,2.2950
666,464,2.3200
667,460,2.3000
668,462,2.3100
669,462,2.3100
670,461,2.3050
671,462,2.3100
672,458,2.2900
673,460,2.3000
674,458,2.2900
675,460,2.3000
676,460,2.3000
677,461,2.3050
678,464,2.3200
679,463,2.3150
680,458,2.2900
681,460,2.3000
682,460,2.3000
683,459,2.2950
684,462,2.3100
685,461,2.3050
686,460,2.3000
687,460,2.3000
688,460,2.3000
689,460,2.3000
690,460,2.3000
691,462,2.3100
692,460,2.3000
693,462,2.3100
694,466,2.3300
695,461,2.3050
696,460,2.3000
697,477,2.3850
698,461,2.3050
699,463,2.3150
700,461,2.3050
701,462,2.3100
702,466,2.3300
703,461,2.3050
704,460,2.3000
705,463,2.3150
706,475,2.3750
707,459,2.2950
708,462,2.3100
709,462,2.3100
710,464,2.3200
711,461,2.3050
712,460,2.3000
713,475,2.3750
714,460,2.3000
715,467,2.3350
716,461,2.3050
717,463,2.3150
718,462,2.3100
719,465,2.3250
720,461,2.3050
721,459,2.2950
722,470,2.3500
723,460,2.3000
724,463,2.3150
725,461,2.3050
726,461,2.3050
727,465,2.3250
728,460,2.3000
729,460,2.3000
730,461,2.3050
731,464,2.3200
732,477,2.3850
733,462,2.3100
734,463,2.3150
735,460,2.3000
736,461,2.3050
737,461,2.3050
738,460,2.3000
739,471,2.3550
740,462,2.3100
741,460,2.3000
742,462,2.3100
743,462,2.3100
744,461,2.3050
745,461,2.3050
746,471,2.3550
747,460,2.3000
748,464,2.3200
749,461,2.3050
750,461,2.3050
751,463,2.3150
752,461,2.3050
753,474,2.3700
754,460,2.3000
755,461,2.3050
756,462,2.3100
757,462,2.3100
758,461,2.3050
759,460,2.3000
760,476,2.3800
761,463,2.3150
762,464,2.3200
763,460,2.3000
764,461,2.3050
765,462,2.3100
766,462,2.3100
767,462,2.3100
768,461,2.3050
769,460,2.3000
770,460,2.3000
771,461,2.3050
772,462,2.3100
773,461,2.3050
774,464,2.3200
775,462,2.3100
776,458,2.2900
777,463,2.3150
778,459,2.2950
779,459,2.2950
780,462,2.3100
781,462,2.3100
782,467,2.3350
783,461,2.3050
784,459,2.2950
785,463,2.3150
786,460,2.3000
787,461,2.3050
788,463,2.3150
789,464,2.3200
790,462,2.3100
791,460,2.3000
792,461,2.3050
793,460,2.3000
794,461,2.3050
795,462,2.3100
796,460,2.3000
797,461,2.3050
798,463,2.3150
799,462,2.3100
800,461,2.3050
801,461,2.3050
802,461,2.3050
803,461,2.3050
804,465,2.3250
805,462,2.3100
806,463,2.3150
807,462,2.3100
808,460,2.3000
809,460,2.3000
810,460,2.3000
811,460,2.3000
812,461,2.3050
813,459,2.2950
814,464,2.3200
815,465,2.3250
816,461,2.3050
817,460,2.3000
818,459,2.2950
819,460,2.3000
820,461,2.3050
821,461,2.3050
822,463,2.3150
823,462,2.3100
824,460,2.3000
825,461,2.3050
826,463,2.3150
827,460,2.3000
828,461,2.3050
829,461,2.3050
830,462,2.3100
831,461,2.3050
832,459,2.2950
833,462,2.3100
834,461,2.3050
835,460,2.3000
836,462,2.3100
837,460,2.3000
838,463,2.3150
839,463,2.3150
840,460,2.3000
841,459,2.2950
842,460,2.3000
843,476,2.3800
844,461,2.3050
845,460,2.3000
846,462,2.3100
847,460,2.3000
848,460,2.3000
849,461,2.3050
850,476,2.3800
851,463,2.3150
852,460,2.3000
853,461,2.3050
854,462,2.3100
855,460,2.3000
856,460,2.3000
857,479,2.3950
858,460,2.3000
859,471,2.3550
860,461,2.3050
861,460,2.3000
862,461,2.3050
863,460,2.3000
864,460,2.3000
865,461,2.3050
866,460,2.3000
867,460,2.3000
868,462,2.3100
869,459,2.2950
870,461,2.3050
871,461,2.3050
872,461,2.3050
873,464,2.3200
874,459,2.2950
875,459,2.2950
876,462,2.3100
877,462,2.3100
878,460,2.3000
879,462,2.3100
880,461,2.3050
881,461,2.3050
882,461,2.3050
